2025-01-10T14:10:45.918Z | direct | GET /arcade/jaeyong_jump | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:45.977Z | direct | GET /_app/immutable/entry/start.-BiKTSLo.js | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:45.977Z | direct | GET /_app/immutable/chunks/entry.vJOPEv_9.js | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.006Z | direct | GET /_app/immutable/entry/app.mRLwFkA-.js | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.080Z | direct | GET /_app/immutable/nodes/7.IzY_YlKl.js | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.081Z | direct | GET /global.css | 304 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.084Z | direct | GET /_app/immutable/chunks/config.iF1H_h3-.js | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.235Z | direct | GET /_app/immutable/nodes/1._mS48qp1.js | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.647Z | direct | GET /arcade_assets/jaeyong_jump/assets/character.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.653Z | direct | GET /arcade_assets/jaeyong_jump/assets/Clouds.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.653Z | direct | GET /arcade_assets/jaeyong_jump/assets/rocket.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.654Z | direct | GET /arcade_assets/jaeyong_jump/assets/buds.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.654Z | direct | GET /arcade_assets/jaeyong_jump/assets/laundry.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
2025-01-10T14:10:46.657Z | direct | GET /arcade_assets/jaeyong_jump/assets/refri.png | 200 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0
